发送时间：2018-10-30 13:41:07 	 服务器地址：http://172.16.5.26:8000/assets/report/ 	 返回结果：发送失败 
发送时间：2018-10-30 13:45:35 	 服务器地址：http://172.16.5.26:8000/assets/report/ 	 返回结果：发送失败 
发送时间：2018-10-30 13:46:35 	 服务器地址：http://172.16.5.26:8000/asset/report/ 	 返回结果：发送失败 
发送时间：2018-10-30 13:56:07 	 服务器地址：http://172.16.5.26:8000F:\/assets\/report 	 返回结果：发送失败 
发送时间：2018-10-30 14:04:45 	 服务器地址：http://172.16.5.26:8000/assets/report/ 	 返回结果：发送失败 
发送时间：2018-10-30 14:05:19 	 服务器地址：http://172.16.5.26:8000/asset/report/ 	 返回结果：发送失败 
发送时间：2018-10-30 14:06:59 	 服务器地址：http://172.16.5.26:8000/asset/report/ 	 返回结果：发送失败 
发送时间：2018-10-30 14:08:35 	 服务器地址：http://172.16.5.26:8000/asset/report/ 	 返回结果：发送失败 
发送时间：2018-10-30 14:13:02 	 服务器地址：http://172.16.5.26:8000/asset/report/ 	 返回结果：发送失败 
发送时间：2018-10-30 14:18:34 	 服务器地址：http://172.16.5.26:8000/asset/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2018-10-30 15:18:34 	 服务器地址：http://172.16.5.26:8000/asset/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2018-10-30 15:31:18 	 服务器地址：http://172.16.5.26:8000/asset/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2018-10-30 15:32:50 	 服务器地址：http://172.16.5.26:8000/asset/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2018-10-30 15:35:25 	 服务器地址：http://172.16.5.26:8000/asset/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2018-10-30 15:37:04 	 服务器地址：http://172.16.5.26:8000/asset/report/ 	 返回结果：资产已经加入或更新待审批区！ 
